VILLE;DEPARTEMENT;CODE INSEE;NOM DU SITE;GROUPE DE DECHETS;SOUS-GROUPE DE DECHETS;DESCRIPTION PHYSIQUE;CATEGORIE;FAMILLE IN;VOLUME EQUIVALENT CONDITIONNE;MAJORATION;ACTIVITE ( Bq);PRINCIPAUX RADIONUCLEIDES
ROMORANTIN-LANTHENAY;41;41194;ARMEE DE L'AIR - DA 273 ROMORANTIN;HM09 RAYON H;;detecteur de fumée TRANSAL (NNO 4210-14-4016399) (0,05 m3 - 1 DETECTEUR);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;241Am
NOUMEA;988;98818;ARMEE DE TERRE - PARIS - RIMAP-NC;Boussole;;Type SYLVA (7 Boussoles);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
DOUAI;59;59178;ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI;compteur Kilometrique;;compteur NNO 6680142429850 (1,8 m3 - 14 compteur);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
DOUAI;59;59178;ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI;compteur vitesse;;compteur vitesse du tableau de bord VAB NNO 6680143023665 (1,8 m3 - 52 compteur);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
DOUAI;59;59178;ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI;thermométre EAU;;thermométre eau  du tableau de bord VAB NNO 6685142385996 (1,8 m3 - 42 thermométre eau);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
DOUAI;59;59178;ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI;voltmétre;;voltmétre 12 V VAB 6625142549161 (1,8 m3 - 42 voltmétre);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
DOUAI;59;59178;ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI;jauge combustible;;jauge combustible VAB NNO 6680142222405 (1,8 m3 - 42 jauge);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
DOUAI;59;59178;ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI;tachymétre;;tachymétre du tableau VAB (1,8 m3 - 42 tachymetre);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Horamètres H3;;"Compteurs d'heures de fonctionnement d'un engin
NNO : 6645144588922 (1,08 m3 - 187 Horamètres)";AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Jauges combustible H3;;"Jauges combustible pour les engins blindés
NNO : 6680142222405 (1,08 m3 - 210 jauges combustible)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Jauges de température d'eau H3;;"Jauges de température d'eau située dans les engins blindés
NNO : 6685142385996 (1,08 m3 - 177 Jauges température)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Ampèremètres H3;;"Ampèremètres pour les engins blindés
NNO : 6625142549162 (1,08 m3 - 209 Ampèremètres)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Voltmètres H3;;"Voltmètres situés dans les engins blindés
NNO : 6625142549161 (1,08 m3 - 162 Voltmètres)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Tachymètres H3;;"Tachymètres présents dans les engins blindés
NNO : 6620142504511 (1,08 m3 - 187 Tachymètres)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Compteurs de vitesse H3;;"Compteurs de vitesse situés dans des engins blindés
NNO : 6680143023665 (1,08 m3 - 121 Compteurs de vitesse)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Ampoules peintes H3;;"Ampoules peintes situés sur des appareils optiques militaires
NNO : 1240144011249 (1,08 m3 - 156 Ampoules peintes)";AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Doubles plateaux H3;;"Doubles plateaux contenant 1 pastille luminescente situés sur des appareils optiques militaires
NNO : 144075048 (1,08 m3 - 154 Doubles plateaux)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Fioles assemblées H3;;"Fioles assemblées situés dans des appareils optiques militaires
NNO : 144075017 (1,08 m3 - 6 Fioles assemblées)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Repères luminescents H3;;"Repères luminescents situés sur les appareils optiques militaires
NNO : 61290143424214 (1,08 m3 - 44 Repères luminescents)";AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Ampoules équipées H3;;"Ampoules équipées situées sur les appareils optiques militaires
NNO : 1240144033789 (1,08 m3 - 48 Ampoules équipées)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Corps d'oculaire H3;;"Corps d'oculaire contenant 1 pastille luminescente situés sur les appareils optiques militaires
NNO : 144075048 (1,08 m3 - 66 Corps oculaire)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Chapes H3;;"Chapes qui contiennent 1 pastille luminescente situées sur les équipements optiques militaires
NNO : 5340144075046 (1,08 m3 - 46 Chapes)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Embases sitométriques H3;;"Embases sitométriques conenat 2 niveaux et 1 pastilles luminescentes situées sur les équipements optiques militaires
NNO : 1240144667496 (1,08 m3 - 108 Embases sitométriques)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Boitiers d'éclairage H3;;"Boitier d'éclairage contenant 1 pastille luminescente situé sur les équipements optiques militaires
NNO : 1240144033799 (1,08 m3 - 20 Boitiers d'éclairage)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Ampoules peintes Ra;;Ampoules peintes situés sur des appareils optiques militaires NNO : 1240144011249 (0,12 m3 - 7 ampoules peintes);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Compteurs de vitesse Ra;;Compteurs de vitesse situés dans des engins blindés NNO : 6680143023665 (0,12 m3 - 10 Compteurs de vitesse);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Tachymètres Ra;;Tachymètres présents dans les engins blindés NNO : 6620142504511 (0,12 m3 - 8 Tachymètres);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Voltmètres Ra;;Voltmètres situés dans les engins blindés NNO : 6625142549161 (0,12 m3 - 9 Voltmètres);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Jauges à combustible Ra;;Jauges combustible pour les engins blindés NNO : 6680142222405 (0,12 m3 - 6 Jauges à combustible);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Ampèremètres Ra;;Ampèremètres pour les engins blindés NNO : 6625142549162 (0,12 m3 - 5 Ampèremètres);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Jauges de température d'eau Ra;;Jauges de température d'eau située dans les engins blindés NNO : 6685142385996 (0,12 m3 - 2 Jauges de température);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Doubles plateaux Ra;;Doubles plateaux contenant 1 pastille luminescente situés sur des appareils optiques militaires NNO : 144075048 (0,12 m3 - 15 Doubles plateaux);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Flèches de boussole directrice Ra;;"Flèche de boussole directrice
NNO : 143876350 (0,12 m3 - 256 Flèches de boussole directrice)";AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Ampoules équipées Ra;;Ampoules équipées situées sur les appareils optiques militaires NNO : 1240144033789 (0,12 m3 - 8 Ampoules équipées);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Crans de mire Ra;;"Crans de mire contenant du Radium
NNO : 6675143839590 (0,12 m3 - 170 Crans de mire)";AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Fioles assemblées Ra;;Fioles assemblées situés dans des appareils optiques militaires NNO : 144075017 (0,12 m3 - 10 fioles assemblées);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Guidons Ra;;"Guidons contenant du Radium
NNO : 6675143839591 (0,12 m3 - 167 Guidons)";AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Compteur kilométrique Ra;;"Compteur kilométrique
NNO : 142429850 (0,12 m3 - 1 Compteur kilométrique)";AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Embases sitométriques Ra;;Embases sitométriques conenat 2 niveaux et 1 pastilles luminescentes situées sur les équipements optiques militaires NNO : 1240144667496 (0,12 m3 - 10 embase sitométriques);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
GIEN;45;45155;ARMEE DE TERRE - ZT NO - 12ème BSMAT - GIEN;Boussole Silva H3;;Boussole de navigation Silva NNO : 6605143876350 (1,08 m3 - 23 Boussoles);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;Th
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;INSTRUMENTS DE BORD;;Amperemètre GBC 8 KT (0,00047 m3 - 1 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;INSTRUMENTS DE BORD;;Compte-tours GBC 8 KT (0,0009 m3 - 1 unite);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;INSTRUMENTS DE BORD;;Jauge combustible GBC 8 KT (0,00047 m3 - 1 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;INSTRUMENTS DE BORD;;Récepteur pression d'huile GBC 8 KT (0,00047 m3 - 1 unite);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;INSTRUMENTS DE BORD;;Thermomètre électrique eau du tableau GBC 8 KT (0,00047 m3 - 1 unite);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;INSTRUMENTS DE BORD;;Manomètre pression d'air GBC 8 KT (0,00047 m3 - 1 unite);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;INSTRUMENTS DE BORD;;Indicateur de direction GBC 8 KT (0,0009 m3 - 1 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;BOUSSOLE;;Boussole SILVA (0,01263 m3 - 0,017 t - 351 unite);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;BOUSSOLE;;Boussole COMPAS VL (0,0015 m3 - 0,00003 t - 1 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;BOUSSOLE;;Boussole SITO SILVA (0,00189 m3 - 0,00033 t - 42 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;BOUSSOLE;;Boussole TOPO ARTILLERIE (0,083 m3 - 0,0001 t - 80 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;BOUSSOLE;;Compas 70 NB (0,4 m3 - 362 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ARMEMENT PETIT CALIBRE;;Coulisseau FAMAS (0,00005 m3 - 29 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ARMEMENT PETIT CALIBRE;;Cran de mire bas FRF2 (0,0003 m3 - 185 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ARMEMENT PETIT CALIBRE;;Bout de canon FRF2 (0,0003 m3 - 179 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ARMEMENT PETIT CALIBRE;;Guidon AA52 AANF1 (0,002 m3 - 1146 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ARMEMENT PETIT CALIBRE;;Pastille AA52 (0,00002 m3 - 0,015 t - 566 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ARMEMENT PETIT CALIBRE;;Pastille AANF1 (0,000007 m3 - 17 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;SOURCE;;SOURCE ORPHELINE (0,00001 m3 - 1 unite);AUTRES;S01;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;137Cs
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ELECTRONIQUE-TRANS;;Niveau à bulle éclairage radar SIROCO (0,0001 m3 - 0,00036 t - 2 unite);FMA-VC;F3-7-01;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ELECTRONIQUE-TRANS;;Niveau à bulle radar OLIFANT (0,00005 m3 - 0,00005 t - 1 unite);FMA-VC;F3-7-01;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;LABORATOIRE;MATERIAUX;MINERAI CHALCOLITE et MONAZITE (0,003375 m3 - 1 unite);FA-VL;DIV9-11;0,003375;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;DIVERS;;EPI (0,24 m3 - 0,002 t - 2 unite);TFA;TFA(SC-SNC);0,1536;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H, 226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;DIVERS;;Pointeurs NT-M07 (0,0007 m3 - 3 unite);FMA-VC;DIV3-11;0,0007;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;DIVERS;;Métascope (0,000471 m3 - 0,000016 t - 1 unite);FMA-VC;DIV3-11;0,000471;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;INSTRUMENTS DE BORD;;Compteur kilométrique GBC 8 KT (0,0018 m3 - 2 unité);AUTRES;S02;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;INSTRUMENTS DE BORD;;Jauges combustible et pression BRIBAN (0,0056 m3 - 0,00006 t - 12 unité);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ARMEMENT PETIT CALIBRE;;Alidade de tir tendu FAMAS (0,0002 m3 - 40 unité);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ELECTRONIQUE-TRANS;;Tubes TR BTL 020 (0,0004 m3 - 9 unité);FMA-VC;DIV3-11;0,0004;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ELECTRONIQUE-TRANS;;Tubes TR MA3830 X (0,0002 m3 - 16 unité);FMA-VC;DIV3-11;0,0002;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ELECTRONIQUE-TRANS;;Ensemble tube TR TH 2608 deux étages (0,0005 m3 - 1 unité);FMA-VC;DIV3-11;0,0005;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;63Ni
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ELECTRONIQUE-TRANS;;Bouton de commande HP avec ampli incorpo SQ TA 1A (0,00001 m3 - 1 unité);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;DIVERS;;Flacons liquide scintillant (0,008 m3 - 40 unité);FMA-VC;F3-7-01;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;DIVERS;;Compte tour mécanique Origine inconnue (0,0009 m3 - 0,003 t - 1 unité);FMA-VC;DIV3-11;0,0009;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ELECTRONIQUE-TRANS;;Boutons canaux A4 (0,00002 m3 - 2 unité);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ELECTRONIQUE-TRANS;;Boutons M/A volume (0,00002 m3 - 2 unité);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;INSTRUMENTS DE BORD;;Compteur de vitesse VAB (0,0009 m3 - 1 unité);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;INSTRUMENTS DE BORD;;Voltmètre VAB (0,00024 m3 - 1 unité);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ELECTRONIQUE-TRANS;;Boutons de commande (0,00003 m3 - 3 unité);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ELECTRONIQUE-TRANS;;Boutons inverseur ext/int (B1) (0,00002 m3 - 2 unité);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
BRUZ;35;35047;ARMEE DE TERRE - ZT NO - 2EME RMAT - BRUZ;ELECTRONIQUE-TRANS;;Boutons volume (0,00001 m3 - 1 unité);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;alidade de visée ;;DVN (1,75 m3 - 1,75 t - 192025 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;alidade de visée ;;DVN CRAN DE MIRE (0,473 m3 - 0,473 t - 185930 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Balise DALI;;Mle B (Carrée) (0,059 m3 - 0,059 t - 2449 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Boussole;;MK, M2 et M26 (0,223 m3 - 0,223 t - 182 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Boussole;;BEZARD (0,024 m3 - 0,024 t - 40 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Boussole;;compas 70 NB/CS sud (0,077 m3 - 0,077 t - 1 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Boussole;;Mle 22 (moyen) (0,614 m3 - 0,614 t - 9001 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Boussole;;Mle 22 (0,032 m3 - 0,0315 t - 1350 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Boussole;;MORIN (0,041 m3 - 0,041 t - 220 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Boussole;;SILVA (0,145 m3 - 0,145 t - 12865 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Boussole;;topo artillerie (0,31 m3 - 0,31 t - 11 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;ALIDADE DE TIR;;FAMAS (9,57 m3 - 226859 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;GUIDON FSA;;GUIDON (11,14 m3 - 158404 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;COMPTEURS;;COMPTEURS DE VITESSE (0,5 m3 - 31 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;COMPTEURS;;DIVERS + OT (1,7 m3 - 1824 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Niveau à bulle;;fiole de niveau à bulle (0,1 m3 - 199 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Niveau à bulle;;niveau à bulle mortier 120 GM (0,58 m3 - 1397 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
VAYRES;33;87199;ARMEE DE TERRE - ZT SO - 3EME RMAT VAYRES;Pastille AA52;;DVN Guidons Radium (0,15 m3 - 49061 unite);AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
